dataset,method,fitness_rule,fitness,ACC,MCC,avg_odds_diff,stat_par_diff,eq_opp_diff,solution
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.7375324664012521,0.8491984521835269,0.5631697430505963,0.1116659857822747,0.1851331793258927,0.1408289477596408,"{'l2': 0.001, 'dropout': 0.0007851474954415211}"
adult_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.8010541300993949,0.8512990602542841,0.6013807654244777,0.0636968746828225,0.1877758760977526,0.0502449301548892,"{'l2': 0.001, 'dropout': 0.17276716930168962}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2831553414494429,0.9002951787471302,0.5140458961720815,0.1348515578781635,0.2308905547226386,0.1273584905660376,"{'l2': 0.01, 'dropout': 0.16042378819812442}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.3817998146293543,0.8935716628402754,0.5004417649672129,0.1186419503378585,0.216976823191907,0.104318045077984,"{'l2': 0.0001, 'dropout': 0.04903127774116537}"
bank_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.4278921480427771,0.8981633322400787,0.5047211294589145,0.062723359638745,0.1714862376658326,0.0768289814161373,"{'l2': 0.001, 'dropout': 0.1792737100727285}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.673461876666788,0.902755001639882,0.5185307745421875,0.1457709555486215,0.2292931249730939,0.1722439459422378,"{'l2': 0.001, 'dropout': 0.13938246679443078}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.8147715155051636,0.9014430960970812,0.5269614755155386,0.0866715805919174,0.2107870333050404,0.0803700053074532,"{'l2': 0.001, 'dropout': 0.18423060209775902}"
bank_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.7905923416048815,0.902755001639882,0.5261417657068791,0.1193951950208262,0.2365600607322913,0.1121626600350004,"{'l2': 0.0001, 'dropout': 0.057950846562874046}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.0194134161453004,0.6434359805510534,0.2712279322743327,0.2414090155908714,0.2518145161290323,0.1887003841229193,"{'l2': 0.001, 'dropout': 0.1681167208848588}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.0925481892852667,0.6320907617504052,0.2581688579262529,0.1656206686409861,0.1817291142592347,0.1061606270317704,"{'l2': 0.001, 'dropout': 0.05646070365312767}"
compas_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.125286984209621,0.6369529983792545,0.2650626608023998,0.1811898094994187,0.1947529792895985,0.1397756765927787,"{'l2': 0.001, 'dropout': 0.12615880490382153}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.4354234865210229,0.6385737439222042,0.2640623827695249,0.1838904109751935,0.2031502574011813,0.1630004601932811,"{'l2': 0.0001, 'dropout': 0.12966677579622987}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.4962112138328361,0.6523500810372771,0.292803303284895,0.1561388672044409,0.1804051222351571,0.0944444444444444,"{'l2': 0.001, 'dropout': 0.05193308331283545}"
compas_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.5067051611004489,0.6645056726094003,0.3242112782253263,0.2287722815389102,0.2533096243609691,0.1578005115089513,"{'l2': 0.001, 'dropout': 0.04177719678353034}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_parity,0.2801853436611807,0.74,0.36036299677011,0.0640681523445498,0.0801776531089293,0.031397174254317,"{'l2': 0.0001, 'dropout': 0.07444007626431587}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_odds,0.2104397876908887,0.7,0.300897753440759,0.0904579657498702,0.0769230769230769,0.0213414634146341,"{'l2': 0.01, 'dropout': 0.15524741093420186}"
german_dataset_reader,mlp_featurewise_l2_initializer,mcc_opportunity,0.3211755406318398,0.77,0.3791841986404978,0.1025337407690348,0.0156858120061328,0.0580086580086579,"{'l2': 0.001, 'dropout': 0.17955232954435124}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_parity,0.589799559726567,0.76,0.3694651641685444,0.1468216468216468,0.170200440273433,0.0582120582120582,"{'l2': 0.0001, 'dropout': 0.015297761170400707}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_odds,0.6900097576841764,0.755,0.4071385199872724,0.0649902423158236,0.070055431064984,0.0961538461538461,"{'l2': 0.01, 'dropout': 0.07802259526204265}"
german_dataset_reader,mlp_featurewise_l2_initializer,acc_opportunity,0.6583333333333334,0.685,0.2092214855664893,0.0555411255411255,0.0026711996114618,0.0266666666666666,"{'l2': 0.0001, 'dropout': 0.18743459854714686}"
